,norm_dist,norm_vel,norm_sig,para_vel,para_sig,Site
,(km),(mm/yr),(mm/yr),(mm/yr),(mm/yr),
NAF,-52.21,0.58,1.11,-0.85,1.25,SILE
NAF,-43.86,-0.06,0.68,-2.02,0.68,ITAY
NAF,-39.41,-0.94,0.58,-2.42,0.61,IKAN
NAF,-12.36,-0.83,0.68,-8.85,0.68,GATE
NAF,-10.35,-1.23,0.92,-6.06,0.94,YUHE
NAF,-8.57,3.98,1.37,-7.5,1.4,TUBI
NAF,-3.9,0.65,0.92,-8.47,0.89,SISL
NAF,-2.78,0.52,0.74,-7.95,0.73,KDER
NAF,2.23,-0.02,0.81,-12.94,0.79,SMAS
NAF,4.79,-1.95,0.93,-13.09,0.94,OLUK
NAF,6.46,-1.11,1.01,-11.17,0.99,KMAL
NAF,7.9,-1.09,0.69,-15.62,0.71,CINA
NAF,9.13,1.27,0.58,-13.53,0.57,KKAP
NAF,10.69,1.21,0.58,-13.58,0.57,KTOP
NAF,13.47,1.14,0.79,-13.06,0.78,AGOK
NAF,17.25,0.15,0.97,-17.2,0.96,PINA
NAF,17.59,0.63,0.7,-17.01,0.67,BOZS
NAF,19.15,0.63,0.7,-17.01,0.67,AGUZ
NAF,25.05,-1.47,1.55,-15.4,1.81,KUTE
NAF,25.49,-4.92,1.68,-18.2,1.99,FIST
NAF,27.27,1.68,0.61,-16.76,0.66,MEKE
NAF,27.83,-1.83,0.92,-20.09,0.92,GEML
NAF,30.28,1.75,0.59,-17.69,0.59,IGAZ
NAF,31.73,1.74,0.59,-17.69,0.59,IUCK
NAF,36.07,1.84,0.63,-19.55,0.63,TEBA
NAF,38.74,-0.62,0.57,-19.88,0.65,DERB
NAF,48.98,-0.44,0.92,-20.83,0.92,DTAS
NAF,56.77,1.34,0.93,-21.11,0.93,CATA
NAF,60.45,2.55,0.93,-20.4,0.93,HAGA
NAF,60.67,0.75,0.93,-21.26,0.93,ZEYA
NAF,60.78,0.19,0.95,-21.41,0.97,HMZA
NAF,63.9,3.04,0.7,-23.43,0.71,ULUD
NAF,65.46,2.33,0.76,-19.44,0.79,ULDA
NAF,71.69,6.54,1.8,-20.72,1.95,KPKL
NAF,86.83,0.54,0.95,-23.43,0.96,GIRE
NAF,117.11,1.74,0.9,-24.01,0.97,ESKI
NAF,216.07,2.55,0.74,-21.23,0.84,AFYO
